,user_ID,name,affiliation
1,Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
2,97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
3,u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
4,9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
5,UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
6,82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
7,YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
8,PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
9,yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
10,I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
11,debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
12,JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
13,UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
14,aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
15,91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
16,HD7tStUAAAAJ,Chanatip Samart,Thammasat University
17,O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
18,SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
19,QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
20,I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
21,p-WB_8kAAAAJ,Cattaleeya Pattamaprom,Thammasat University
22,KhTCPuEAAAAJ,Sanya Mitaim,"Associate Professor, Thammasat University"
23,n5NQxncAAAAJ,Thawatchai Onjun,Sirindhorn International Institute of Technology
24,SaeC_isAAAAJ,Siriwan Suebnukarn,Professor at Thammasat University
25,iaKJpjwAAAAJ,Peter Ractham,Thammasat Business School
26,R2R8ECAAAAAJ,Junya Pattaraarchachai,Thammasat University
27,uKVBN38AAAAJ,Piyanuch Kongtim,Thammasat University
28,tfqcJY0AAAAJ,Peerasak Paoprasert,Associate Professor at Thammasat University
29,QHoiqrEAAAAJ,Suraparb Keawsawasvong,Thammasat University
30,Xa3otrYAAAAJ,Kasidit Chanchio,Thammasat University
31,iB7D6X4AAAAJ,Preeti Ovartchaiyapong,Thammasat University
32,0nE6sE8AAAAJ,Assoc. Prof. Dr. Pakorn Opaprakasit,"Sirindhorn International Institute of Technology (SIIT), Thammasat University,Thailand"
33,0ObmHVgAAAAJ,Amin Eisazadeh (Assistant Professor (Dr.)),"Sirindhorn International Institute of Technology, Thammasat University"
34,M8a85U0AAAAJ,Professor Dr. Pusit Lertwattanaruk,"Faculty of Architecture and Planning, Thammasat University"
35,SB62Tf4AAAAJ,Boonchoy Soontornworajit,"Department of Chemistry, Faculty of Science and Technology, Thammasat University"
36,ivPZuB0AAAAJ,Pruettha Nanakorn,"Professor, Sirindhorn International Institute of Technology, Thammasat University, Thailand"
37,BDBDmcUAAAAJ,Yingyot Infahsaeng,"Lecturer at Department of Physics, Thammasat University"
38,qKEHgQsAAAAJ,Anya Khanthavit,"Distinguished Professor of Finance and Banking, Thammasat University"
39,96Dqe64AAAAJ,Bharat Dahiya,"College of Interdisciplinary Studies, Thammasat University, Bangkok, Thailand"
40,gfGF_YoAAAAJ,Aussadavut Dumrongsiri,"Sirindhorn International Institute of Technology, Thammasat University"
41,6dDRiEoAAAAJ,pornchai chunhachinda,Professor of Finance Thammasat University
42,wvWCuA0AAAAJ,Kasian Tejapira,"Professor of Political Science, Thammasat University"
43,HTwbrIkAAAAJ,Jirachai Buddhakulsomsiri,"Sirindhorn International Institute of Technology, Thammasat University"
44,M12Q8-MAAAAJ,Songyot Nakariyakul,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
45,BWM1T2EAAAAJ,Pavida Pananond,"Thammasat Business School, Thammasat University, Bangkok, Thailand"
46,TopHIDwAAAAJ,Mongkut Piantanakulchai,"Sirindhorn International Institute of Technology, Thammasat University"
47,Ego6Y3IAAAAJ,Mathupayas Thongmak,Thammasat Business School
48,rzHSMQ8AAAAJ,Natthapon Nakpathomkun,Thammasat University
49,5IToUsoAAAAJ,Kittipat Malakit,Thammasat University
50,ijKtwqsAAAAJ,"Banlue Srisuchinwong, PhD","Sirindhorn International Institute of Technology, Thammasat University"
51,71ebhj8AAAAJ,Chayanin Angthong,"Department of Orthopaedics, Thammasat University"
52,BATHSXAAAAAJ,Nopadol Rompho,Thammasat University
53,Y3NQ8fkAAAAJ,Itthisek Nilkhamhang,Sirindhorn International Institute of Technology
54,Gx8EJKYAAAAJ,Dr. Khanin Nueangnoraj,"Sirindhorn International Institute of Technolgy, Thammasat University, Thailand"
55,80Kis_AAAAAJ,Vikanda Pornsakulvanich,Thammasat University
56,-BiqpXEAAAAJ,Dr. Pholawat Tingpej,Thammasat University
57,W8l_dqIAAAAJ,Dr.Somnuk Tangtermsirikul,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
58,04YlgK8AAAAJ,Kriengkrai Techakanont,"Associate Professor, Faculty of Economics, Thammasat University"
59,ZFvvmbYAAAAJ,Phatthanakit Chobthamkit,Thammasat University
60,DrRm-zUAAAAJ,Siriluck Rotchankitumnuai,"Thammasat Business School, Thammasat University"
61,Y2rA2nMAAAAJ,supakorn phoocharoensil,"Language Institute, Thammasat University"
62,jkZpNuYAAAAJ,Manat Srivanit,"Assistant Professor of City Planning, Faculty of Architecture and Planning, Thammasat …"
63,Y9_i9IoAAAAJ,Prof.Dr. Orapan Poachanukoon,"Faculty of Medicine, Thammasat University"
64,8uY7ix4AAAAJ,Shu Han Hsu,"Sirindhorn International Institute of Technology (SIIT), Thammasat University, Thailand"
65,G03mmSIAAAAJ,Watit Pakdee,Thammasat University
66,4DZaRGYAAAAJ,Rathapon Asasutjarit,Thammasat University
67,J8H8WbAAAAAJ,Aurathai Lertwannawit,"Associate Professor in Business Administration, Marketing Department, Thammasat …"
68,ySezUucAAAAJ,Cholwich Nattee,"Sirindhorn International Institute of Technology, Thammasat University"
69,gf-vn2oAAAAJ,Asst.Prof.Dr. Kom Campiranon,"College of Innovation, Thammasat University"
70,GuALoboAAAAJ,Patcharee Kooncumchoo,"Asst.Professor of Physical Therapy, Thammasat University"
71,ytwnqaYAAAAJ,Sirima Mongkolsomlit,"Faculty of Public Health, Thammasat University"
72,FeSYQ9UAAAAJ,Jirapon Sunkpho,Thammasat University
73,Fxx0NBEAAAAJ,Sumet Kongkiatpaiboon,"Drug Discovery and Development Center, Thammasat University"
74,35ESlEcAAAAJ,Ratchata Peachavanish,Thammasat University
75,VWv6qfIAAAAJ,Somboon Kulvisaechana,Thammasat Business School
76,7FSes-sAAAAJ,Supenya Chittapun,Thammasat University
77,agRE3Q4AAAAJ,Natenapha Yabushita,Thammasat University
78,KbyVPr4AAAAJ,somsak vongpradubchai,"Lecture, Faculty of Engineering, Thammasat University (Rangsit Campus)"
79,fSuRF4gAAAAJ,Charturong Tantibundhit,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
80,P6o3R6cAAAAJ,sudaporn Sudprasert,Thammasat University
81,XyYldawAAAAJ,Somchart Fugkeaw,"Sirindhorn Institute of Technology, Thammasat University"
82,SKd9C_QAAAAJ,Muthita Phanasathit,Thammasat University
83,PF7C904AAAAJ,Nichaphat Thongsai,"Ph.D. at Department of Chemistry, Thammasat University"
84,v_ETD68AAAAJ,Paiboon Nakmahachalasint,Thammasat University
85,zYs7N1AAAAAJ,Tareq Hossain,"Lecturer, Thammasat Business School"
86,yIpiYE0AAAAJ,Timo Ojanen,"Faculty of Learning Sciences and Education, Thammasat University"
87,DA9lAfYAAAAJ,Kittipong Chainok,Thammasat University
88,OsvbnKAAAAAJ,Watchaneeporn Setthasakko,"Thammasat Business School, Thammasat University"
89,9qwG-5sAAAAJ,Onjira Sitthisak,"Department of Computer Science, Faculty of Science and Technology,Thammasat …"
90,fgXGb-oAAAAJ,Thongchai Kanabkaew,Thammasat University
91,utSFHHAAAAAJ,Isares Dhuchakallaya,Thammasat University
92,-Nyu6C8AAAAJ,Pantisa Pavabutr,Thammasat Business School
93,BSB3qsUAAAAJ,Sathaporn Opasanon,"Associate Professor of Commerce and Accountancy, Thammasat University"
94,FKGmS7gAAAAJ,pichai aree,Thammasat University
95,fdxbFp4AAAAJ,Paolo Bertozzini,"Foreign Expert, Department of Mathematics and Statistics, Thammasat University"
96,dno5C6MAAAAJ,Patcharee Isarankura-Na-Ayudhya,Thammasat University
97,7cwN7dIAAAAJ,Prajak Kongkirati,"Faculty of Political Science, Thammasat University"
98,bkSJ0TwAAAAJ,Somchai Supattarakul,"Thammasat Business School, Thammasat University"
99,eY0qi74AAAAJ,Suparuj Lueangarun,"Assistant Professor, Division of Dermatology, Chulabhorn International College of Medicine …"
100,VG8fTU0AAAAJ,John Winward,"lecturer, Thammasat University"
101,Btx0U58AAAAJ,Nattapong Puttanapong,Thammasat University
102,pjbupgEAAAAJ,Nitikorn Noraphaiphipaksa,"Mechanical Engineering, Thammasat University"
103,oJ_14kQAAAAJ,Sajee Sirikrai,"Department of Operations Management, Thammasat Business School"
104,Cgc8BGwAAAAJ,Tatchalerm Sudhipongpracha,"College of Interdisciplinary Studies, Thammasat University"
105,6GojeM8AAAAJ,Adisorn Juntrasook,Thammasat University
